Clontarf - James Larkin Rd,Clontarf - James Larkin Rd Cyclist West,Clontarf - James Larkin Rd Cyclist East,Clontarf - Pebble Beach Carpark,Clontarf - Pebble Beach Carpark Cyclist West,Clontarf - Pebble Beach Carpark Cyclist East,Griffith Avenue (Clare Rd Side),Griffith Avenue (Clare Rd Side) Cyclist South,Griffith Avenue (Lane Side),Griffith Avenue (Lane Side) Cyclist South,Grove Road Totem,Grove Road Totem OUT,Grove Road Totem IN,Richmond Street Inbound,Richmond Street Inbound Cyclist North,Richmond Street Outbound,Richmond Street Outbound Cyclist South
0.7351680307743543,0.7172175720697694,0.0,2.1341571532644354,1.5082612037150098,-1.0637508107356235,0.0,0.0,-0.9187342050983633,-0.9187342050983633,-1.1831256476724727,-1.0915354084309998,-1.059336739624895,1.385658900114034,1.3847899889491444,2.961408617351114,2.957159749998477
2.302121444871748,1.7432263953506302,1.1468518998752735,1.2215616162922018,1.1743125296663686,-1.6996066779127492,1.545752670182747,1.545752670182747,-0.9187342050983633,-0.9187342050983633,-1.139411819530439,-0.8479151907960926,-1.2481459476587111,0.0,0.0,2.5312169971067733,2.5280318527757766
0.0,0.0,0.0,1.2215616162922018,0.0,-1.0637508107356235,0.7315782947070708,0.7315782947070708,-0.9187342050983633,-0.9187342050983633,-1.3324796077747045,-1.3084758510222232,-1.147175615823194,1.8631855590654955,1.861684958353826,3.1502726356740554,3.1455168992978018
0.7351680307743543,0.7172175720697694,0.0,0.0,0.0,-1.6996066779127492,1.545752670182747,1.545752670182747,-0.9187342050983633,-0.9187342050983633,-1.1831256476724727,-1.0020180100534706,-1.147175615823194,2.274110213912031,1.861684958353826,2.961408617351114,2.957159749998477
0.0,0.0,0.0,0.7408151602800918,0.0,-1.3075860570502338,1.1972379852111419,1.1972379852111419,-0.9187342050983633,-0.9187342050983633,-0.9859491182826685,-0.604456450693508,-1.2481459476587111,2.274110213912031,2.2719551094735535,1.9974560150749767,1.9954044528399995
1.5612384941699673,0.7172175720697694,1.1468518998752735,1.8823573883414602,0.7227879268137071,-0.883903955472745,0.0,0.0,-0.9187342050983633,-0.9187342050983633,-1.6893202931471387,-1.4457933028424546,-1.7109024261904204,1.8631855590654955,1.861684958353826,3.1502726356740554,3.1455168992978018
0.7351680307743543,0.7172175720697694,0.0,2.1341571532644354,1.5082612037150098,-1.0637508107356235,0.7315782947070708,0.7315782947070708,-0.9187342050983633,-0.9187342050983633,-1.0980931015509479,-1.0020180100534706,-0.9813689127209383,3.272073587757993,3.2679558258925603,1.6683137847283873,1.6668509288837856
0.7351680307743543,0.0,0.712147161436108,1.5858064059863346,0.7227879268137071,-1.0637508107356235,0.0,0.0,-0.9187342050983633,-0.9187342050983633,-0.8281788261130179,-1.1924325688954607,-0.4680018983255556,1.385658900114034,1.3847899889491444,1.9974560150749767,1.9954044528399995
2.302121444871748,1.159897366884732,1.714370182924855,3.304349402546912,1.1743125296663686,-0.203405738560378,0.7315782947070708,0.7315782947070708,-0.9187342050983633,-0.9187342050983633,-0.8281788261130179,-1.0020180100534706,-0.5470182950820276,3.272073587757993,3.2679558258925603,2.961408617351114,2.7525721445521563
4.759646980517634,2.915898200953372,3.434669950107333,5.187121954431935,3.1998168767521538,0.3437243275747688,0.7315782947070708,0.7315782947070708,-0.9187342050983633,-0.9187342050983633,-0.8574017742242563,-1.0020180100534706,-0.5896501761234946,5.330621251408019,5.321093489002908,2.7562977853456614,2.7525721445521563
5.572856693291422,3.1855712376243273,4.131966886331973,6.155442377370546,3.6049045092655216,0.7849451121249709,0.7315782947070708,0.7315782947070708,-0.9187342050983633,-0.9187342050983633,-0.9518508574112283,-1.0915354084309998,-0.6825296843986897,4.300678927965981,4.294062763423986,3.643626918509208,3.6374383644639394
5.925003130066455,3.98900377594261,4.017415347630669,6.500049036003293,4.096780898312676,0.8251745275257671,3.0285907252764868,3.0285907252764868,1.2959617138902764,1.2959617138902764,-1.058890958914672,-1.0915354084309998,-0.8470715511742444,5.691518024400259,5.680883550156131,3.325624835207831,3.320377546416363
5.925003130066455,3.98900377594261,4.017415347630669,7.453200453154033,5.024119146104529,1.0359134694929089,2.4518483245742275,2.4518483245742275,1.025831264412674,1.025831264412674,-0.6246473932150957,-0.45764497537864013,-0.5896501761234946,6.655188580134724,6.641399865944337,4.530164711748127,4.521032972786953
6.083338275139241,4.21194712711055,4.017415347630669,6.6877935189892845,4.47734355462611,0.7849451121249709,2.4518483245742275,2.4518483245742275,1.1408494438191288,1.1408494438191288,-0.5177403245006665,-0.659254608071484,-0.26823926000323073,6.192889415630909,6.180648800600298,4.740056819768808,4.730163507347359
5.858632170629765,3.940286063774048,3.9770890515094743,6.747669967530033,4.716514545984751,0.6988178724158828,2.764782862903052,2.764782862903052,0.617296031785404,0.617296031785404,-0.4591058608064769,-0.5528296859693492,-0.23909516621872895,6.655188580134724,6.641399865944337,4.184018725220691,4.1760899928256
5.202792753906914,3.784089164569435,3.2405561991130694,6.298575642478674,4.600980820499882,0.4084675894399481,1.545752670182747,1.545752670182747,0.17688283186694578,0.17688283186694578,-0.3862211725456107,-0.37138002660522845,-0.23909516621872895,8.232860478807872,8.095162672285447,5.294909642152677,5.2828913312885835
5.016700716596325,3.8379496087569183,2.8383229609339993,5.1328861832864785,3.5316498726057812,0.15686002483854633,2.063985907067056,2.063985907067056,1.3972339306621482,1.3972339306621482,-0.31849768147688956,-0.15157538403277923,-0.2984098352921789,7.870952438054302,7.728451118282962,5.539703992754145,5.526698523534739
